,category,info_authority,info_display_parents,info_fossil_range,info_grandparent_authority,info_greatgrandparent_authority,info_image,info_image2,info_image2_alt,info_image2_caption,info_image_alt,info_image_caption,info_image_upright,info_image_widt,info_name,info_parent_authority,info_subdivision,info_subdivision_ranks,info_synonyms,info_synonyms_ref,info_taxon,info_type_genus,info_type_genus_authority,info_type_species,info_type_species_authority,ns,pageid,title,views,jp_cloned,jp_skeleton,jurassic,cretaceous,triassic,paleocene,permian
188,Category:Late Jurassic dinosaurs|Category:Jurassic dinosaurs of South America,,,,,,,,,,,,,,,,,,,,,,,,,0,4312687,Brachytrachelopan,25.96712328767123,False,False,True,False,False,False,False
184,Category:Late Jurassic dinosaurs|Category:Cretaceous dinosaurs,"Cau, 2018",2,,,,Ornitholestes Royal Tyrrell 2.jpg,"Vultur gryphus head (Linnaeus, 1758).jpg",, (''Vultur gryphus''),,Skeleton mount of '' hermanni'',,,Maniraptoromorpha,,"*{{extinct}}''''
*{{extinct}}''''
*",Subgroups,,,Maniraptoromorpha,,,,,0,57354985,Maniraptoromorpha,25.93972602739726,False,False,True,True,False,False,False
493,Category:Late Cretaceous dinosaurs of South America|Category:Late Cretaceous dinosaurs of South America,"Novas & Puerta, 1997",,<br>~{{fossilrange|89}},,,Unenlagia.jpg,,,,,Illustration of known material of ''U. comahuensis'',1.15,,,,"*{{extinct}}'''''U. comahuensis''''' 
*{{extinct}}'''''U. paynemili'''''",Species,,,Unenlagia,,,,,0,3735559,Unenlagia,25.931506849315067,False,False,False,True,False,False,False
931,Category:Late Cretaceous dinosaurs of Asia|Category:Late Cretaceous dinosaurs of Asia,,,,,,,,,,,,,,,,,,,,,,,,,0,2274210,Homalocephale,25.887671232876713,False,False,False,True,False,False,False
1150,Category:Early Cretaceous dinosaurs of North America|Category:Early Cretaceous dinosaurs of North America|Category:Early Cretaceous dinosaurs of North America,"Chure ''et al.'', 2010",,", {{Fossil range|104.5}}",,,Abydosaurus NT.jpg,,,,,Restoration of the head and neck,,,,,,,,,Abydosaurus,,,{{extinct}}'''''Abydosaurus mcintoshi''''',"Chure ''et al.'', ",0,26316903,Abydosaurus,25.882191780821916,False,False,False,True,False,False,False
758,Category:Late Cretaceous dinosaurs of North America|Category:Cretaceous birds of North America|Category:Late Cretaceous dinosaurs of North America|Category:Cretaceous birds of North America|Category:Avisauridae|Category:Cretaceous birds of North America|Category:Cretaceous birds of North America|Category:Late Cretaceous dinosaurs of North America|Category:Cretaceous birds of North America|Category:Cretaceous birds of North America," & , 1985",,{{fossil range|68|66|}},,,Avisaurus and Brachychampsa by tomozsaurus.jpg,,,,,Restoration of ''Avisaurus'' and '''',,,,,*{{extinct}}'''''A. archibaldi''''',,,,Avisaurus,,,{{extinct}}'''''Avisaurus archibaldi''''',"Brett-Surman & Paul, 1985",0,2509488,Avisaurus,25.876712328767123,False,False,False,True,False,False,False
1410,Category:Early Cretaceous birds of Asia|Category:Jeholornithidae|Category:Early Cretaceous birds of Asia|Category:Jeholornithidae|Category:Early Cretaceous birds of Asia|Category:Jeholornithidae|Category:Early Cretaceous birds of Asia|Category:Jeholornithidae|Category:Early Cretaceous birds of Asia|Category:Jeholornithidae|Category:Early Cretaceous birds of Asia|Category:Jeholornithidae|Category:Early Cretaceous birds of Asia|Category:Jeholornithidae,"Zhou & Zhang, 2002",,", {{fossil range|122|120}}",,,Jeholornis-Paleozoological Museum of China.jpg,,,,,"Fossil specimen of a juvenile ''J. prima'' (IVPP V13550), ",,,,,"*{{extinct}}'''''J. palmapenis''''' 
*{{extinct}}'''''J. curvipes'''''",Other Species,''Shenzhouraptor'',,Jeholornis,,,{{extinct}}'''''Jeholornis prima''''',"Zhou & Zhang, 2002",0,4590357,Jeholornis,25.78082191780822,False,False,False,True,False,False,False
1160,Category:Early Cretaceous dinosaurs of Europe|Category:Early Cretaceous dinosaurs of Europe|Category:Early Cretaceous dinosaurs of Europe,", 1841",,,,,Suchosaurus.jpg,,,,,Holotype tooth of ''S. cultridens'',,,,,"* '''''S. cultridens''''' 
* '''''S. girardi'''''",Species,"*''Crocodylus (Suchosaurus) cultridens'' 
* ''''?",,Suchosaurus,,,,,0,9523295,Suchosaurus,25.71780821917808,False,False,False,True,False,False,False
1022,Category:Late Cretaceous dinosaurs of Africa|Category:Late Cretaceous dinosaurs of Africa|Category:Late Cretaceous dinosaurs of Africa,"Cau ''et al.'', ",,", {{fossilrange|100|latest=95}}",,,Sauroniops_holotype.png,,,,,"The holotype specimen of ''Sauroniops pachytholus'', left frontal bone MPM 2594.",,,,,,,,,Sauroniops,,,{{extinct}}'''''Sauroniops pachytholus''''',"Cau ''et al.'', 2012",0,37477292,Sauroniops,25.70958904109589,False,False,False,True,False,False,False
351,Category:Early Jurassic dinosaurs of North America|Category:Early Jurassic dinosaurs of North America|Category:Early Jurassic dinosaurs of North America,,,,,,,,,,,,,,,,,,,,,,,,,0,41969033,Coelophysis kayentakatae,25.695890410958903,False,False,True,False,False,False,False
